Region,Season,Crop,Production (tons),Area (hectares),Yield Ratio
Gandaki,Summer (Monsoon),Barley,8889,883,2.9
Madhesh,Spring,Millet,3427,204,4.05
Sudurpashchim,Spring,Mustard,8822,449,1.01
Madhesh,Whole Year,Mustard,5060,894,1.37
Madhesh,Winter,Barley,2717,738,3.9
Province 1,Summer (Monsoon),Maize,9598,385,2.57
Sudurpashchim,Summer (Monsoon),Wheat,3251,317,2.52
Karnali,Spring,Millet,7712,793,1.29
Province 1,Whole Year,Lentil,282,132,3.0
Lumbini,Winter,Rice,9397,860,0.55
Madhesh,Winter,Mustard,9220,147,3.14
Province 1,Summer (Monsoon),Wheat,2098,198,1.81
Sudurpashchim,Winter,Wheat,4588,864,2.11
Gandaki,Summer (Monsoon),Mustard,9128,4,0.95
Bagmati,Winter,Barley,4591,645,4.09
Bagmati,Whole Year,Wheat,1698,786,2.02
Bagmati,Winter,Potato,1935,310,3.25
Bagmati,Whole Year,Barley,4177,148,3.65
Madhesh,Winter,Potato,3806,439,3.94
Bagmati,Whole Year,Mustard,1574,239,2.76
Sudurpashchim,Winter,Mustard,8949,615,1.49
Gandaki,Spring,Millet,5321,713,4.99
Sudurpashchim,Spring,Lentil,3373,661,3.77
Madhesh,Summer (Monsoon),Potato,1610,401,1.98
Karnali,Summer (Monsoon),Millet,6807,734,3.76
Gandaki,Winter,Barley,1301,554,4.55
Sudurpashchim,Whole Year,Millet,7044,592,1.38
Lumbini,Whole Year,Wheat,8760,716,4.66
Sudurpashchim,Summer (Monsoon),Wheat,7014,515,2.5
Province 1,Winter,Mustard,9118,39,2.49
Sudurpashchim,Whole Year,Rice,8750,307,0.58
Gandaki,Winter,Maize,2099,230,2.37
Bagmati,Winter,Lentil,6380,201,4.13
Madhesh,Summer (Monsoon),Millet,852,337,2.68
Sudurpashchim,Winter,Mustard,4523,585,3.25
Bagmati,Summer (Monsoon),Maize,4866,622,4.82
Province 1,Spring,Potato,2949,12,1.62
Lumbini,Winter,Lentil,8415,445,3.79
Lumbini,Summer (Monsoon),Rice,1311,382,1.14
Province 1,Spring,Barley,8409,121,2.72
Karnali,Winter,Barley,2604,509,2.5
Bagmati,Summer (Monsoon),Barley,7137,903,3.39
Karnali,Whole Year,Millet,9434,641,1.41
Province 1,Winter,Potato,8849,752,1.95
Province 1,Spring,Rice,8545,121,1.67
Province 1,Winter,Millet,8467,88,4.36
Madhesh,Summer (Monsoon),Lentil,833,638,2.36
Gandaki,Summer (Monsoon),Rice,9496,626,2.95
Bagmati,Spring,Maize,5406,132,4.93
Lumbini,Spring,Rice,9392,64,3.12
Madhesh,Winter,Mustard,1238,601,2.09
Gandaki,Whole Year,Potato,1151,516,2.32
Madhesh,Spring,Lentil,7195,732,0.83
Karnali,Winter,Millet,1330,788,2.29
Sudurpashchim,Summer (Monsoon),Millet,3891,202,4.36
Lumbini,Winter,Barley,9288,922,3.44
Gandaki,Whole Year,Rice,9686,427,0.88
Bagmati,Spring,Potato,314,683,1.54
Sudurpashchim,Winter,Wheat,8009,769,1.29
Province 1,Whole Year,Lentil,2904,380,0.9
Lumbini,Spring,Mustard,2540,134,1.32
Bagmati,Summer (Monsoon),Mustard,8123,345,1.95
Karnali,Winter,Potato,2359,844,4.57
Gandaki,Summer (Monsoon),Maize,5613,830,0.91
Lumbini,Winter,Maize,7840,626,2.02
Sudurpashchim,Winter,Wheat,3582,407,2.43
Sudurpashchim,Summer (Monsoon),Maize,8618,59,3.12
Lumbini,Winter,Wheat,5386,175,2.12
Karnali,Spring,Barley,6772,279,3.84
Gandaki,Summer (Monsoon),Mustard,2541,904,4.89
Karnali,Winter,Millet,7020,346,2.09
Lumbini,Spring,Maize,5344,262,0.92
Gandaki,Whole Year,Wheat,5879,117,3.69
Gandaki,Whole Year,Millet,952,566,3.27
Province 1,Summer (Monsoon),Mustard,3076,748,1.16
Province 1,Winter,Potato,6595,452,3.04
Lumbini,Whole Year,Lentil,2796,107,3.01
Karnali,Winter,Lentil,3166,961,0.64
Province 1,Whole Year,Potato,8427,355,1.07
Madhesh,Whole Year,Maize,2782,834,1.63
Lumbini,Winter,Millet,6478,254,3.16
Province 1,Spring,Lentil,1780,10,3.7
Gandaki,Summer (Monsoon),Wheat,2047,75,0.93
Gandaki,Winter,Millet,4301,582,1.9
Province 1,Summer (Monsoon),Potato,3917,715,0.87
Province 1,Summer (Monsoon),Millet,4614,868,1.33
Karnali,Whole Year,Rice,6180,387,0.67
Gandaki,Whole Year,Millet,970,25,3.39
Gandaki,Summer (Monsoon),Potato,5608,754,4.72
Gandaki,Whole Year,Millet,4064,249,4.65
Lumbini,Spring,Potato,7578,814,3.97
Bagmati,Winter,Millet,4820,157,2.41
Lumbini,Winter,Barley,9762,20,4.08
Province 1,Summer (Monsoon),Mustard,8978,828,1.06
Karnali,Spring,Maize,3014,129,3.64
Madhesh,Winter,Millet,8512,672,2.24
Sudurpashchim,Spring,Millet,337,877,4.54
Karnali,Spring,Mustard,2899,703,3.38
Karnali,Spring,Millet,2539,600,0.55
Bagmati,Winter,Maize,1776,953,2.51
Gandaki,Whole Year,Millet,9043,756,4.64
Bagmati,Summer (Monsoon),Rice,8450,649,2.39
Province 1,Spring,Barley,9927,941,3.28
Lumbini,Spring,Maize,9499,217,2.5
Province 1,Whole Year,Wheat,2662,272,1.11
Province 1,Spring,Millet,7694,938,1.25
Karnali,Winter,Maize,3311,328,3.37
Bagmati,Summer (Monsoon),Wheat,3545,735,3.31
Karnali,Summer (Monsoon),Wheat,4708,601,2.57
Bagmati,Spring,Millet,2779,656,2.21
Lumbini,Summer (Monsoon),Mustard,122,266,1.38
Province 1,Spring,Barley,8167,331,3.52
Bagmati,Winter,Mustard,671,703,4.38
Bagmati,Spring,Rice,7325,828,0.61
Bagmati,Spring,Potato,788,380,3.28
Lumbini,Winter,Barley,4849,836,3.47
Province 1,Whole Year,Millet,6578,764,2.33
Sudurpashchim,Summer (Monsoon),Barley,4770,326,3.9
Bagmati,Summer (Monsoon),Mustard,8391,217,1.89
Madhesh,Spring,Maize,3264,94,4.0
Lumbini,Spring,Lentil,6696,591,4.83
Madhesh,Spring,Maize,6340,430,1.1
Gandaki,Spring,Mustard,7037,615,3.77
Gandaki,Whole Year,Potato,8523,936,3.65
Gandaki,Whole Year,Wheat,5699,809,4.37
Bagmati,Whole Year,Potato,142,813,0.61
Lumbini,Whole Year,Potato,1591,109,4.76
Gandaki,Whole Year,Mustard,5150,393,1.0
Province 1,Winter,Barley,2892,176,4.16
Karnali,Spring,Mustard,2098,16,3.64
Gandaki,Spring,Lentil,4368,740,1.69
Karnali,Spring,Wheat,6969,266,1.92
Madhesh,Spring,Lentil,2354,471,1.62
Karnali,Spring,Wheat,7011,182,3.24
Madhesh,Summer (Monsoon),Potato,9005,75,1.27
Gandaki,Whole Year,Millet,3518,639,1.7
Karnali,Winter,Maize,6947,336,3.82
Lumbini,Whole Year,Barley,1280,276,2.64
Bagmati,Spring,Mustard,3217,726,2.41
Lumbini,Whole Year,Millet,3002,535,2.82
Lumbini,Winter,Barley,4289,155,4.37
Sudurpashchim,Summer (Monsoon),Millet,2937,390,1.57
Karnali,Summer (Monsoon),Maize,1320,959,2.15
Madhesh,Whole Year,Maize,5871,383,3.42
Madhesh,Winter,Millet,8669,192,0.95
Bagmati,Winter,Mustard,8330,638,1.98
Province 1,Spring,Barley,9101,360,3.5
Lumbini,Spring,Lentil,7640,325,0.71
Sudurpashchim,Spring,Wheat,827,764,4.12
Province 1,Winter,Rice,7722,127,0.66
Karnali,Spring,Potato,5680,633,3.73
Gandaki,Spring,Wheat,4923,521,2.04
Karnali,Summer (Monsoon),Wheat,5408,591,1.35
Sudurpashchim,Whole Year,Lentil,2970,235,4.89
Madhesh,Winter,Millet,231,917,1.85
Sudurpashchim,Summer (Monsoon),Barley,5559,91,3.03
Lumbini,Whole Year,Lentil,5293,860,3.11
Madhesh,Summer (Monsoon),Mustard,9122,386,3.19
Lumbini,Whole Year,Mustard,551,179,3.27
Madhesh,Whole Year,Rice,5338,911,4.74
Bagmati,Summer (Monsoon),Millet,3615,975,2.86
Province 1,Whole Year,Maize,7846,884,4.44
Lumbini,Spring,Barley,3041,723,4.75
Sudurpashchim,Summer (Monsoon),Wheat,8261,547,3.73
Bagmati,Spring,Rice,2067,552,1.58
Madhesh,Spring,Maize,932,958,4.53
Gandaki,Summer (Monsoon),Millet,9544,567,0.69
Gandaki,Spring,Lentil,5113,106,3.88
Bagmati,Spring,Rice,4267,812,1.98
Karnali,Winter,Potato,8697,48,3.64
Sudurpashchim,Winter,Lentil,9624,107,3.89
Bagmati,Summer (Monsoon),Potato,5098,954,3.02
Province 1,Summer (Monsoon),Millet,4213,360,3.13
Karnali,Winter,Mustard,6161,905,0.62
Sudurpashchim,Whole Year,Potato,6005,900,3.31
Bagmati,Spring,Wheat,1870,916,3.92
Lumbini,Whole Year,Mustard,440,516,2.59
Karnali,Winter,Maize,7451,540,4.86
Sudurpashchim,Spring,Barley,3026,680,0.85
Lumbini,Winter,Potato,3899,342,4.08
Madhesh,Summer (Monsoon),Lentil,2728,255,0.6
Madhesh,Spring,Potato,9513,276,4.22
Lumbini,Winter,Rice,1728,397,4.74
Province 1,Winter,Millet,7219,176,2.26
Karnali,Winter,Barley,1649,272,0.79
Sudurpashchim,Whole Year,Mustard,3157,511,0.87
Sudurpashchim,Spring,Wheat,5920,201,3.88
Sudurpashchim,Winter,Rice,933,180,3.16
Karnali,Whole Year,Potato,7821,87,3.52
Lumbini,Spring,Lentil,1019,199,4.78
Sudurpashchim,Spring,Mustard,9213,171,1.49
Bagmati,Summer (Monsoon),Wheat,448,248,3.37
Bagmati,Summer (Monsoon),Maize,7631,429,4.69
Bagmati,Winter,Lentil,9620,606,4.89
Lumbini,Winter,Barley,7150,494,1.8
Province 1,Summer (Monsoon),Millet,8314,46,4.34
Lumbini,Summer (Monsoon),Lentil,8534,820,2.51
Bagmati,Summer (Monsoon),Millet,583,634,1.2
Karnali,Spring,Maize,328,842,4.96
Gandaki,Whole Year,Barley,2913,955,2.01
Province 1,Summer (Monsoon),Lentil,9961,432,3.6
Sudurpashchim,Whole Year,Maize,5932,755,4.67
Sudurpashchim,Summer (Monsoon),Potato,3850,748,3.39
Karnali,Whole Year,Barley,3558,708,0.92
Sudurpashchim,Summer (Monsoon),Lentil,1894,222,3.98
Sudurpashchim,Winter,Lentil,6538,493,1.7
Bagmati,Spring,Rice,4874,161,3.93
Karnali,Spring,Wheat,4356,935,4.67
Karnali,Spring,Mustard,7094,142,1.76
Madhesh,Summer (Monsoon),Barley,6514,570,1.25
Karnali,Spring,Millet,3242,198,0.94
Lumbini,Spring,Lentil,4564,343,2.11
Sudurpashchim,Spring,Rice,2408,545,2.88
Bagmati,Whole Year,Mustard,6725,202,1.38
Bagmati,Summer (Monsoon),Rice,9067,615,2.39
Madhesh,Whole Year,Potato,1682,278,1.23
Sudurpashchim,Winter,Millet,3839,789,4.96
Province 1,Winter,Millet,2953,707,2.03
Gandaki,Winter,Mustard,3279,207,1.17
Madhesh,Winter,Millet,4166,778,2.22
Gandaki,Summer (Monsoon),Wheat,605,508,2.32
Sudurpashchim,Winter,Mustard,9988,132,1.61
Lumbini,Summer (Monsoon),Mustard,6172,170,2.1
Madhesh,Spring,Barley,3259,347,1.58
Bagmati,Whole Year,Wheat,7683,629,2.99
Lumbini,Spring,Rice,3386,156,2.58
Province 1,Winter,Mustard,2495,187,4.67
Sudurpashchim,Winter,Barley,7772,25,2.25
Sudurpashchim,Summer (Monsoon),Lentil,5901,697,2.87
Lumbini,Spring,Mustard,8732,587,1.98
Sudurpashchim,Whole Year,Mustard,6456,185,3.07
Gandaki,Winter,Potato,7797,155,3.21
Sudurpashchim,Winter,Wheat,3086,590,0.7
Lumbini,Summer (Monsoon),Lentil,8725,165,2.58
Bagmati,Whole Year,Millet,6371,88,3.37
Lumbini,Spring,Millet,343,576,0.89
Bagmati,Whole Year,Mustard,9724,417,0.62
Gandaki,Summer (Monsoon),Rice,319,670,3.82
Sudurpashchim,Whole Year,Maize,1797,535,4.98
Province 1,Whole Year,Potato,5347,283,3.79
Bagmati,Spring,Wheat,1573,296,2.99
Bagmati,Whole Year,Potato,5070,741,3.05
Lumbini,Whole Year,Barley,7020,19,3.06
Karnali,Winter,Potato,9498,992,3.58
Karnali,Winter,Lentil,5346,457,3.64
Bagmati,Winter,Potato,2785,142,0.98
Karnali,Winter,Wheat,3298,607,3.39
Gandaki,Whole Year,Lentil,3475,639,3.48
Sudurpashchim,Whole Year,Mustard,3089,240,0.61
Madhesh,Winter,Mustard,2397,730,2.41
Sudurpashchim,Summer (Monsoon),Lentil,7372,305,4.52
Sudurpashchim,Summer (Monsoon),Mustard,1190,664,2.46
Gandaki,Whole Year,Lentil,7943,528,1.98
Gandaki,Winter,Wheat,3015,275,4.2
Madhesh,Spring,Potato,8785,740,4.76
Bagmati,Summer (Monsoon),Lentil,6191,105,1.88
Province 1,Summer (Monsoon),Mustard,5860,395,1.92
Province 1,Whole Year,Wheat,1982,240,1.0
Gandaki,Whole Year,Maize,4261,840,2.5
Madhesh,Spring,Lentil,6399,147,4.21
Sudurpashchim,Winter,Lentil,9738,815,3.0
Sudurpashchim,Whole Year,Millet,9787,567,4.8
Sudurpashchim,Summer (Monsoon),Lentil,1507,988,1.15
Gandaki,Summer (Monsoon),Rice,6771,869,4.39
Sudurpashchim,Spring,Lentil,1068,600,1.23
Bagmati,Summer (Monsoon),Maize,5039,101,1.99
Sudurpashchim,Summer (Monsoon),Wheat,6250,755,2.06
Madhesh,Whole Year,Barley,8356,793,1.94
Province 1,Summer (Monsoon),Maize,8336,749,1.81
Karnali,Spring,Mustard,6575,18,4.38
Lumbini,Summer (Monsoon),Rice,6821,57,3.68
Bagmati,Whole Year,Wheat,8680,601,3.75
Madhesh,Summer (Monsoon),Millet,6066,691,4.69
Sudurpashchim,Summer (Monsoon),Barley,9360,710,1.83
Madhesh,Winter,Barley,1212,968,0.81
Lumbini,Spring,Rice,3183,306,1.75
Lumbini,Spring,Wheat,4979,301,2.69
Sudurpashchim,Whole Year,Barley,2617,309,2.12
Gandaki,Winter,Lentil,9366,715,1.2
Lumbini,Spring,Potato,9453,825,1.45
Sudurpashchim,Spring,Rice,508,375,3.99
Sudurpashchim,Spring,Millet,5115,824,4.53
Bagmati,Spring,Mustard,201,250,3.2
Sudurpashchim,Spring,Mustard,6699,447,4.75
Madhesh,Spring,Potato,9917,600,1.12
Karnali,Spring,Maize,5980,150,4.95
Madhesh,Winter,Barley,3027,896,2.98
Gandaki,Winter,Mustard,2394,548,4.72
Gandaki,Summer (Monsoon),Wheat,9543,183,0.52
Sudurpashchim,Whole Year,Lentil,8163,235,3.78
Lumbini,Summer (Monsoon),Rice,1971,675,2.51
Madhesh,Summer (Monsoon),Potato,8295,758,1.6
Sudurpashchim,Summer (Monsoon),Wheat,3218,530,1.01
Sudurpashchim,Winter,Rice,8525,627,4.05
Gandaki,Whole Year,Millet,5296,46,3.05
Lumbini,Spring,Lentil,6695,33,4.64
Madhesh,Whole Year,Potato,5740,621,3.59
Sudurpashchim,Winter,Millet,495,28,3.09
Madhesh,Spring,Rice,5241,59,2.45
Sudurpashchim,Spring,Rice,8533,377,3.17
Sudurpashchim,Winter,Rice,885,105,3.92
Province 1,Spring,Lentil,7194,249,0.82
Lumbini,Winter,Potato,9613,668,4.98
Sudurpashchim,Summer (Monsoon),Mustard,8395,299,3.93
Karnali,Whole Year,Rice,2244,416,1.6
Gandaki,Spring,Potato,4541,920,3.47
Sudurpashchim,Winter,Millet,3804,646,3.44
Bagmati,Spring,Maize,1334,383,2.53
Karnali,Whole Year,Lentil,6183,136,2.18
Province 1,Summer (Monsoon),Millet,5520,843,4.23
Sudurpashchim,Summer (Monsoon),Potato,380,444,1.82
Sudurpashchim,Whole Year,Potato,9068,448,2.64
Karnali,Whole Year,Mustard,1348,161,4.58
Gandaki,Spring,Lentil,237,889,4.46
Karnali,Whole Year,Rice,9299,455,2.25
Madhesh,Whole Year,Millet,713,40,1.68
Karnali,Spring,Mustard,7255,313,2.94
Gandaki,Winter,Potato,6212,551,2.73
Sudurpashchim,Spring,Mustard,4777,424,1.99
Bagmati,Summer (Monsoon),Lentil,3928,176,4.81
Gandaki,Spring,Millet,7620,305,4.74
Sudurpashchim,Winter,Lentil,3015,216,4.19
Gandaki,Summer (Monsoon),Millet,1936,160,3.86
Lumbini,Summer (Monsoon),Potato,1449,787,1.63
Gandaki,Summer (Monsoon),Wheat,9943,163,2.64
Lumbini,Winter,Wheat,6259,921,3.5
Province 1,Spring,Mustard,2768,495,3.76
Sudurpashchim,Spring,Rice,9983,675,2.02
Karnali,Spring,Barley,2722,244,2.85
Gandaki,Summer (Monsoon),Barley,3726,154,1.92
Province 1,Summer (Monsoon),Potato,5770,45,1.27
Province 1,Summer (Monsoon),Potato,8688,511,4.18
Sudurpashchim,Whole Year,Wheat,201,593,3.34
Gandaki,Whole Year,Millet,9191,68,3.7
Karnali,Summer (Monsoon),Mustard,1156,831,3.48
Bagmati,Spring,Rice,3207,736,3.9
Bagmati,Spring,Rice,9317,734,4.37
Bagmati,Whole Year,Rice,4755,764,1.1
Gandaki,Summer (Monsoon),Barley,8161,564,0.67
Karnali,Winter,Lentil,9064,180,1.63
Madhesh,Winter,Lentil,7403,226,0.68
Province 1,Winter,Maize,8363,784,3.47
Bagmati,Summer (Monsoon),Barley,7212,366,4.36
Karnali,Spring,Rice,9991,839,1.5
Madhesh,Summer (Monsoon),Potato,6946,662,3.96
Sudurpashchim,Whole Year,Lentil,7793,936,0.56
Madhesh,Spring,Lentil,9145,107,1.42
Province 1,Winter,Millet,8181,781,2.49
Gandaki,Spring,Mustard,5971,426,1.99
Bagmati,Winter,Potato,3258,17,4.56
Gandaki,Spring,Barley,7238,317,2.64
Karnali,Whole Year,Wheat,4931,792,1.95
Sudurpashchim,Winter,Lentil,3445,816,1.72
Sudurpashchim,Whole Year,Barley,1175,342,0.85
Madhesh,Spring,Potato,3401,95,4.8
Bagmati,Whole Year,Lentil,8397,887,3.71
Sudurpashchim,Spring,Millet,1656,476,2.79
Madhesh,Summer (Monsoon),Mustard,3335,650,4.68
Bagmati,Winter,Wheat,6264,46,2.88
Sudurpashchim,Winter,Rice,5949,6,0.87
Bagmati,Whole Year,Wheat,7362,610,1.13
Province 1,Winter,Maize,1464,635,1.94
Sudurpashchim,Summer (Monsoon),Potato,4343,897,2.43
Province 1,Winter,Mustard,2025,554,2.33
Province 1,Summer (Monsoon),Wheat,1925,677,4.65
Madhesh,Whole Year,Maize,4271,18,4.83
Sudurpashchim,Summer (Monsoon),Wheat,6060,113,1.05
Sudurpashchim,Whole Year,Barley,7354,14,0.86
Sudurpashchim,Whole Year,Lentil,1601,362,1.17
Gandaki,Spring,Mustard,486,175,3.44
Madhesh,Winter,Barley,6253,465,1.43
Madhesh,Summer (Monsoon),Lentil,2051,490,3.9
Gandaki,Summer (Monsoon),Rice,7975,693,3.94
Province 1,Spring,Lentil,4340,879,3.62
Sudurpashchim,Spring,Potato,9613,499,1.7
Gandaki,Winter,Wheat,627,626,3.03
Lumbini,Spring,Lentil,4989,510,2.79
Madhesh,Summer (Monsoon),Rice,9957,396,3.1
Province 1,Whole Year,Barley,3321,131,3.65
Lumbini,Spring,Wheat,3787,216,4.68
Sudurpashchim,Whole Year,Potato,2424,994,2.38
Lumbini,Summer (Monsoon),Lentil,3023,396,2.73
Bagmati,Whole Year,Maize,4731,238,4.02
Lumbini,Whole Year,Rice,2655,678,2.12
Madhesh,Summer (Monsoon),Maize,9334,878,1.96
Gandaki,Winter,Maize,9023,248,3.97
Karnali,Winter,Mustard,9397,345,3.3
Gandaki,Summer (Monsoon),Potato,4028,185,1.75
Sudurpashchim,Summer (Monsoon),Barley,5030,717,1.36
Province 1,Spring,Lentil,9393,77,2.04
Madhesh,Spring,Millet,4789,928,3.23
Gandaki,Spring,Rice,2498,844,4.74
Gandaki,Whole Year,Lentil,307,664,1.62
Madhesh,Winter,Maize,6421,172,2.43
Sudurpashchim,Summer (Monsoon),Potato,750,763,1.57
Gandaki,Summer (Monsoon),Lentil,4387,86,4.85
Bagmati,Summer (Monsoon),Mustard,1649,257,1.59
Sudurpashchim,Whole Year,Barley,4065,777,3.2
Lumbini,Spring,Wheat,7770,706,1.92
Sudurpashchim,Winter,Millet,9348,327,2.39
Bagmati,Spring,Rice,1125,631,1.45
Province 1,Whole Year,Potato,9333,895,1.42
Sudurpashchim,Summer (Monsoon),Barley,1732,943,1.11
Karnali,Whole Year,Barley,6086,312,4.62
Lumbini,Winter,Wheat,102,790,0.92
Gandaki,Whole Year,Potato,5568,715,1.7
Gandaki,Summer (Monsoon),Mustard,8021,953,1.35
Province 1,Whole Year,Millet,1899,963,1.38
Madhesh,Whole Year,Millet,5906,363,4.15
Lumbini,Winter,Barley,376,573,3.28
Madhesh,Whole Year,Barley,8316,78,4.26
Sudurpashchim,Spring,Millet,9233,736,3.84
Madhesh,Spring,Rice,3487,122,2.92
Gandaki,Winter,Potato,6734,72,2.92
Karnali,Winter,Maize,2627,468,2.26
Madhesh,Summer (Monsoon),Potato,6632,182,2.42
Bagmati,Winter,Barley,6444,132,2.13
Madhesh,Spring,Maize,5477,343,3.23
Gandaki,Whole Year,Wheat,8991,419,4.78
Bagmati,Summer (Monsoon),Mustard,9847,983,4.82
Karnali,Whole Year,Potato,7589,141,2.44
Madhesh,Winter,Mustard,5505,59,1.47
Karnali,Whole Year,Wheat,8709,159,4.72
Madhesh,Winter,Millet,3995,953,0.69
Karnali,Whole Year,Mustard,7718,248,4.87
Madhesh,Summer (Monsoon),Millet,868,726,3.24
Karnali,Spring,Mustard,5287,557,2.45
Sudurpashchim,Spring,Barley,5884,174,3.35
Bagmati,Winter,Maize,2914,178,2.4
Karnali,Summer (Monsoon),Barley,4625,909,0.64
Sudurpashchim,Spring,Lentil,6346,977,3.25
Gandaki,Spring,Lentil,7815,915,4.6
Province 1,Whole Year,Rice,8761,968,4.97
Karnali,Winter,Maize,2797,578,3.81
Madhesh,Spring,Potato,4851,9,1.7
Bagmati,Spring,Maize,8533,592,3.79
Lumbini,Whole Year,Wheat,6654,891,2.89
Sudurpashchim,Spring,Wheat,1321,406,1.36
Bagmati,Winter,Maize,4296,896,1.41
Lumbini,Winter,Millet,3660,140,0.73
Gandaki,Spring,Rice,2307,239,1.38
Karnali,Spring,Millet,4618,612,0.56
Lumbini,Summer (Monsoon),Rice,7885,292,3.21
Karnali,Whole Year,Mustard,9845,618,2.41
Karnali,Winter,Potato,9141,967,2.38
Lumbini,Summer (Monsoon),Wheat,8528,517,2.36
Madhesh,Winter,Mustard,8542,819,3.35
Gandaki,Summer (Monsoon),Lentil,6204,37,2.1
Karnali,Winter,Potato,8975,169,3.95
Gandaki,Summer (Monsoon),Maize,7405,40,3.81
Gandaki,Spring,Wheat,9835,759,2.83
Madhesh,Summer (Monsoon),Wheat,9919,551,4.76
Madhesh,Winter,Lentil,4869,364,2.62
Lumbini,Summer (Monsoon),Barley,6957,275,3.59
Lumbini,Whole Year,Wheat,8082,535,1.35
Madhesh,Spring,Maize,6944,754,1.84
Gandaki,Summer (Monsoon),Lentil,3851,239,4.89
Lumbini,Winter,Potato,1853,361,3.43
Sudurpashchim,Spring,Lentil,6165,514,1.42
Karnali,Summer (Monsoon),Lentil,9554,248,2.57
Bagmati,Summer (Monsoon),Wheat,4363,749,1.71
Province 1,Spring,Wheat,7357,92,2.14
Lumbini,Summer (Monsoon),Rice,9076,128,3.17
Madhesh,Summer (Monsoon),Millet,7401,569,1.7
Karnali,Whole Year,Maize,640,942,3.25
Gandaki,Whole Year,Maize,9650,503,3.25
Lumbini,Whole Year,Wheat,2711,853,4.21
Madhesh,Winter,Wheat,2779,54,1.93
Bagmati,Spring,Maize,8675,881,4.15
Karnali,Winter,Millet,4664,309,4.71
Karnali,Summer (Monsoon),Potato,3241,690,0.62
Province 1,Whole Year,Lentil,6992,374,3.18
Sudurpashchim,Spring,Wheat,3143,360,3.62
Lumbini,Whole Year,Wheat,485,926,1.55
Lumbini,Winter,Mustard,3620,391,2.38
Madhesh,Whole Year,Lentil,9862,253,2.34
Gandaki,Summer (Monsoon),Millet,5978,855,4.98
Province 1,Winter,Potato,4940,980,0.97
Karnali,Whole Year,Barley,4022,268,2.07
Gandaki,Whole Year,Millet,9471,738,4.16
Bagmati,Summer (Monsoon),Rice,891,172,0.56
Gandaki,Winter,Millet,8040,380,1.94
Province 1,Whole Year,Wheat,655,926,2.92
Madhesh,Whole Year,Wheat,3646,612,4.45
Madhesh,Summer (Monsoon),Lentil,5597,453,2.03
Madhesh,Winter,Lentil,5099,154,3.9
Karnali,Spring,Maize,2545,258,2.87
Bagmati,Spring,Barley,1977,436,1.4
Province 1,Whole Year,Mustard,5800,471,3.89
Lumbini,Summer (Monsoon),Barley,7463,383,1.17
Province 1,Winter,Mustard,6495,980,3.06
Province 1,Spring,Rice,7435,568,0.94
Lumbini,Summer (Monsoon),Millet,6923,787,3.92
Gandaki,Whole Year,Maize,3206,612,0.93
Bagmati,Summer (Monsoon),Maize,3506,990,3.15
Lumbini,Winter,Maize,7576,387,1.61
Gandaki,Summer (Monsoon),Barley,4034,954,3.41
Karnali,Summer (Monsoon),Lentil,4442,103,1.24
Province 1,Winter,Millet,948,194,4.74
Gandaki,Spring,Wheat,8094,944,1.15
Gandaki,Spring,Rice,8193,357,4.53
Lumbini,Spring,Wheat,1518,329,3.56
Bagmati,Whole Year,Maize,4387,912,3.36
Bagmati,Winter,Rice,8861,956,1.33
Sudurpashchim,Whole Year,Maize,5783,724,4.04
Gandaki,Summer (Monsoon),Barley,7376,928,3.98
Bagmati,Spring,Mustard,772,631,1.3
Karnali,Winter,Millet,619,115,3.16
Karnali,Summer (Monsoon),Potato,4235,550,3.63
Province 1,Whole Year,Mustard,8578,818,2.54
Sudurpashchim,Winter,Potato,2117,134,3.74
Madhesh,Summer (Monsoon),Wheat,6652,237,3.79
Province 1,Spring,Lentil,1139,504,2.96
Lumbini,Whole Year,Maize,3717,251,1.51
Province 1,Spring,Maize,2532,140,2.14
Karnali,Spring,Potato,4007,947,4.06
Gandaki,Spring,Barley,8545,557,2.88
Karnali,Whole Year,Mustard,2147,21,4.44
Madhesh,Winter,Potato,7365,396,2.59
Gandaki,Whole Year,Maize,119,808,0.78
Sudurpashchim,Winter,Barley,6806,304,3.79
Bagmati,Summer (Monsoon),Millet,4015,415,0.96
Sudurpashchim,Winter,Lentil,8001,464,1.61
Bagmati,Spring,Mustard,9192,267,1.68
Bagmati,Whole Year,Barley,7323,60,0.52
Bagmati,Summer (Monsoon),Maize,8340,911,1.47
Province 1,Summer (Monsoon),Wheat,8551,416,4.34
Province 1,Summer (Monsoon),Potato,6630,407,3.8
Madhesh,Spring,Barley,7099,830,2.71
Bagmati,Whole Year,Millet,880,396,0.87
Sudurpashchim,Spring,Lentil,1591,838,4.58
Madhesh,Whole Year,Wheat,5130,215,2.56
Madhesh,Summer (Monsoon),Mustard,3187,907,1.06
Madhesh,Summer (Monsoon),Potato,771,575,2.23
Madhesh,Summer (Monsoon),Lentil,9059,423,2.52
Karnali,Summer (Monsoon),Lentil,7373,234,0.98
Bagmati,Winter,Lentil,9352,892,2.89
Province 1,Whole Year,Millet,4157,25,4.83
Bagmati,Summer (Monsoon),Maize,5158,421,1.49
Gandaki,Whole Year,Rice,3331,748,0.65
Province 1,Spring,Mustard,2073,427,2.92
Sudurpashchim,Winter,Maize,3531,904,1.29
Lumbini,Summer (Monsoon),Lentil,9658,645,3.8
Karnali,Winter,Mustard,8964,119,3.73
Province 1,Summer (Monsoon),Potato,3259,501,2.07
